order_id,customer_id,order_date,product_category,quantity,price,revenue,channel,country
O000048,C0128,2024-07-06,Electronics,3,118.15,354.45,Instagram,USA
O024577,C0095,2024-02-11,Books,2,44.27,88.54,Google Ads,USA
O013478,C0499,2023-03-14,Sports,1,24.81,24.81,Direct,USA
O010475,C0758,2023-07-02,Beauty,1,53.72,53.72,Google Ads,Canada
O028355,C0087,2024-08-30,Home & Garden,1,185.94,185.94,Instagram,USA
O014137,C0299,2023-12-23,Beauty,5,85.48,427.4,Instagram,USA
O026171,C0046,2024-04-28,Fashion,1,174.25,174.25,Organic Search,Australia
O011996,C0166,2023-03-04,Home & Garden,1,158.78,158.78,Email,USA
O029963,C0245,2023-03-07,Books,2,8.89,17.78,Email,Canada
O025522,C0064,2024-05-02,Beauty,3,26.99,80.97,Direct,UK
O026483,C0799,2023-02-03,Home & Garden,3,70.88,212.64,Direct,Canada
O017560,C0047,2023-12-08,Home & Garden,3,241.81,725.43,Direct,UK
O016785,C0257,2023-11-14,Fashion,3,101.08,303.24,Email,Australia
O002482,C0054,2024-02-18,Beauty,1,31.04,31.04,Organic Search,France
O000677,C0111,2023-05-22,Fashion,5,43.66,218.3,Email,USA
O001629,C0598,2023-06-11,Electronics,1,77.87,77.87,Facebook,Australia
O010527,C0318,2024-06-02,Fashion,1,128.54,128.54,Google Ads,USA
O022334,C0314,2023-02-02,Home & Garden,1,148.68,148.68,Instagram,USA
O011431,C0127,2023-10-05,Sports,2,136.15,272.3,Email,UK
O013064,C0797,2023-06-23,Fashion,1,53.36,53.36,Google Ads,UK
O004533,C0012,2024-02-07,Sports,1,170.71,170.71,Email,UK
O024776,C0554,2023-08-27,Beauty,2,64.9,129.8,Google Ads,Australia
O015234,C0085,2024-11-26,Fashion,2,71.22,142.44,Organic Search,France
O021852,C0468,2023-03-28,Home & Garden,2,73.15,146.3,Facebook,USA
O002783,C0499,2024-02-10,Home & Garden,2,55.57,111.14,Facebook,USA
O016405,C0560,2023-07-21,Toys,2,54.33,108.66,Email,USA
O000288,C0100,2023-03-09,Beauty,1,75.1,75.1,Email,USA
O011418,C0057,2024-07-14,Home & Garden,2,272.38,544.76,Organic Search,USA
O011796,C0550,2024-03-26,Beauty,2,97.54,195.08,Organic Search,USA
